business_id,attributes_BikeParking,attributes_BusinessAcceptsCreditCards,attributes_GoodForKids,attributes_HasTV,attributes_NoiseLevel,attributes_OutdoorSeating,attributes_RestaurantsDelivery,attributes_RestaurantsGoodForGroups,attributes_RestaurantsPriceRange2,attributes_RestaurantsReservations,attributes_RestaurantsTableService,attributes_RestaurantsTakeOut,attributes_WheelchairAccessible,bus_review_count,bus_avg_stars
A4zLP5AyKEEHQr_dWEZKig,1,1,1,0,1,1,0,1,2.0,0,1,1,0,1565,4.0
uMQaaUvdHGhTFiyOhGa93w,1,1,1,0,2,0,0,0,2.0,0,1,1,1,222,3.5
a6nZdebWiAZ97jync-vnGA,1,1,1,1,2,0,0,1,2.0,1,1,1,1,313,4.0
SvCjBtbN1cKElDKPTw9dOA,1,1,0,0,2,0,0,1,3.0,1,1,1,0,171,3.5
qHQPvp6pZ75fB63kOKUPqg,1,1,0,0,2,0,0,0,2.0,0,0,0,1,121,3.5
ygaOvp0PLBYaYeN9cZAlGg,1,1,1,0,2,1,0,1,2.0,0,1,1,1,149,4.5
acvmtF41s5Qa1ZNadUV0Dw,0,0,0,0,2,0,0,0,2.0,0,0,0,0,276,3.0
r0qqCtctSUO7QvvSoRYqXg,1,1,1,1,2,1,1,1,2.0,0,1,1,1,217,3.5
1e7hOSI9GEE-dTxIcA3c0Q,1,1,0,0,2,0,0,1,2.0,1,1,1,1,246,3.5
nTc-Qj_-ABZrpM9YSpJ6jA,1,0,1,0,2,0,0,0,2.0,0,1,1,0,110,3.5
9Raunn3mrzH2t9ZW_mh8UQ,1,1,0,1,2,1,0,1,1.0,0,0,0,1,116,3.0
qqqws6GByzrZyLzr5g9f0Q,0,1,1,1,2,1,0,1,2.0,0,0,1,0,466,3.5
AMkZ0TvxfVZfTOHuWTUaTw,1,1,1,0,2,0,0,0,1.0,0,0,0,1,162,4.5
lENkF6Cgd9WzUDBcuZcAPA,1,1,1,1,2,0,1,1,1.0,1,0,1,1,172,3.5
ZxA3HG1kxD-0ZzKuealTFA,1,1,1,0,2,0,0,0,1.0,0,0,1,0,102,4.0
mvbQX1jHHHGlOWfMWJJ-bw,0,0,0,0,2,0,0,0,2.0,0,0,0,0,282,3.5
dU-Nt1-LjV9mAgFOVcdAJw,1,1,1,0,2,0,1,1,2.0,0,0,1,1,147,4.0
aqszoKRB4Ol9bpemt0_-GQ,1,1,1,0,2,0,0,0,2.0,0,0,0,1,146,4.5
6g2EQgi1QiXcp9TvbyG-Ig,1,1,1,0,3,0,0,1,2.0,0,1,1,1,192,4.0
wJnhUJCOYkncLPZAwaMffA,1,1,1,0,2,0,0,1,2.0,0,0,1,1,210,4.0
5eKk8dA1QtKaQr_5i_SCRw,1,1,0,0,2,1,0,0,2.0,1,1,1,1,334,4.0
mU3vlAVzTxgmZUu6F4XixA,1,1,1,0,2,1,0,1,1.0,0,0,1,0,142,3.0
Y6ERro4P_wmneOWj07n94A,1,1,0,1,2,0,0,1,3.0,1,1,0,1,536,4.0
KK7-mHecrlhTIXxW1eATEw,1,1,1,1,2,0,0,1,2.0,1,1,1,1,509,4.0
fZioXnBVf-KAsCFX-P2whg,1,1,1,1,2,0,0,1,2.0,1,1,1,0,134,4.5
BN6-gHm2ZMkZoGT8VZaiRw,0,1,0,0,2,0,0,1,3.0,1,1,1,1,117,4.0
mdH4B106mV183WZ_koNADQ,1,1,1,0,3,0,0,1,2.0,0,1,1,0,127,4.0
KRaxPApQv43oX6Dcv3jKQA,1,1,1,1,2,1,0,1,2.0,1,1,1,1,191,3.5
8rIDfnWHSo-K0Xb9Y1gjrA,1,0,0,0,2,0,0,0,2.0,0,1,0,1,184,3.5
HhLVQg2DAmMll14mNDB4dg,1,1,1,0,2,0,0,1,2.0,1,0,1,1,386,4.5
Q4RSmF0s-AkaegrLFCLEbg,1,1,1,0,2,1,0,0,1.0,0,0,1,1,496,4.5
ToFm2DhhTdr0Kv0A7Sdj6g,1,1,0,1,1,1,0,1,2.0,0,0,0,0,196,4.0
fSFzgt_QzJRUN0qNzTAwig,1,1,1,0,2,0,0,1,2.0,1,1,1,1,172,4.0
o_73vrhXGy07nUWxn5q58A,1,1,1,1,2,1,0,1,1.0,0,0,1,1,119,3.5
bn_QrUHgavXKIk_lTASErQ,0,1,0,0,2,0,0,0,2.0,0,0,0,0,142,3.5
TgcjQfl1E9DE-SjDVOUDJQ,1,1,1,1,2,1,1,1,1.0,1,1,1,1,133,3.5
j8opwJ1ZM55hI3AMHT37MA,1,1,0,1,2,1,0,1,2.0,1,1,1,1,216,4.0
YOD9dXrnpu8HTRILpF0onw,1,1,1,1,2,1,0,0,2.0,0,0,1,1,396,4.5
RPO5ISR18Xllgk9ahdPepA,1,1,1,1,2,0,1,1,1.0,0,0,1,1,113,4.0
S-Hksc_Hh_dMEbiTWDnblQ,1,1,1,1,2,1,1,1,2.0,0,1,1,1,121,3.5
gtCp3eQ09VolPSf2kkpQbA,1,1,1,0,2,0,0,1,2.0,1,1,1,1,381,4.0
dFZ81ltgrZMCGbxf-pFQ1g,1,1,0,0,2,0,0,0,2.0,0,0,0,1,282,4.0
i03Q2vOtCGyaNQjaZs5-ZQ,1,1,1,1,2,0,1,1,2.0,1,1,1,1,191,3.5
NUhHkT1wfXsTLxt_tWwVXw,0,1,1,0,2,0,0,0,2.0,0,0,0,1,213,4.5
NMofTz1rtReWO34fLCAzyw,0,0,0,0,2,0,0,0,2.0,0,0,0,0,257,4.0
5m2JukTajxMk-qS5W4s-FA,1,1,1,1,2,0,1,1,1.0,0,0,1,1,114,3.5
iqntlaqSCB4hkzTzlPlEmQ,0,1,1,1,2,0,1,1,2.0,1,1,1,1,217,3.5
OumGHdbdp7WgyYMhcAdjhw,1,0,1,1,2,0,0,1,1.0,0,0,1,1,277,3.5
HmRI5esljcm7kjWM--7Uyg,1,1,0,0,2,1,0,0,1.0,0,0,1,0,220,4.5
VdgLaQinAvwzq0HutvRNiQ,1,1,1,0,2,1,0,1,1.0,0,0,1,1,174,3.5
Iy-D1rYKS-0ZEgG38rrIag,1,1,1,1,2,1,0,1,2.0,0,1,1,1,154,4.0
q3dJQtwZQrrurNT-1bNKgQ,0,0,0,0,2,0,0,0,2.0,0,0,0,0,147,3.5
XfLNmGJliGkiveI2Zrxumg,0,1,0,0,2,0,0,0,2.0,0,0,0,0,281,5.0
sJpl9ufYT87UWhtW-5UkmQ,1,1,0,1,2,1,0,1,2.0,0,0,0,1,107,2.0
G6EkDTXZ6zMUovg7JTG4YQ,1,1,0,0,2,1,1,0,2.0,0,0,1,1,179,3.5
c_leO_TPDOruu7BivaOisg,1,0,0,0,2,0,0,0,2.0,0,0,0,1,253,3.5
WrHu03srbhJAw6bnTIixdw,1,1,0,0,2,0,0,0,2.0,0,0,0,1,102,3.0
fK9J1uzCHtmMjSHDkSKh6w,1,1,1,1,2,1,0,1,2.0,0,1,1,1,354,4.0
zP05w3gjD30Gi9-SCIy2DA,1,1,0,0,2,1,0,1,2.0,0,1,1,0,888,4.0
c9SKd0bIR6nNzXOVCbOi_A,1,1,1,0,2,1,0,1,1.0,0,0,1,1,148,4.0
iW-itp3rXRB44okBnjcpLA,0,1,0,1,2,1,0,1,2.0,1,1,1,1,1405,3.5
jyosc8h4oI1f02YxuPrqIA,1,1,1,0,3,1,0,1,1.0,0,0,1,1,130,4.5
GjkgXXicSJokejRge-g3xA,1,1,1,1,3,1,0,1,2.0,1,1,1,1,144,3.5
wuMtOi-Q0VPDTVC9O442dA,0,1,0,0,2,0,0,0,2.0,0,0,0,0,102,4.5
oeW0vIYd3rUnAPgmD4fEFg,0,1,0,0,2,0,0,0,2.0,0,0,0,0,122,2.5
k-tg18rWRibZ4jKpoqhb0Q,1,1,1,0,2,1,0,1,1.0,0,0,1,1,529,4.0
9D7h2xfVJrGkkwXDsnfV_Q,1,1,1,1,1,1,0,1,2.0,1,1,1,1,264,4.0
5OqrwhtZ3mcmUSwLINZTWQ,0,1,1,0,2,0,0,1,2.0,0,1,1,1,281,3.0
b-RSw4G3HJvGfwvRLzuLPw,0,1,0,0,1,0,0,1,3.0,0,0,0,1,192,3.5
XkvvUNCmLIvOts0OftXegw,1,1,1,1,3,0,0,1,1.0,1,1,1,0,150,4.0
HwjhWHbNp56t-dRiv3-wPA,1,1,0,0,2,0,0,0,2.0,0,0,0,1,127,5.0
B7qQmqD9H2UoOpShmHTfZw,1,1,0,0,2,0,0,0,1.0,0,0,0,1,104,4.5
nUpKKVwG2WctMOXux19vew,1,1,1,1,3,1,0,1,1.0,1,1,1,1,127,4.5
RkqN70Pidy6_tAWMvodOLg,1,1,0,1,2,1,0,1,1.0,0,1,1,1,126,3.5
GU0zNpgisY-pV3U2Sfdp6A,1,1,1,1,2,1,0,1,2.0,1,1,1,1,193,3.0
9Jo1pu0y2zU6ktiwQm6gNA,1,1,1,1,2,1,0,1,2.0,0,1,1,1,409,4.0
PIpCmok4zzozeSI7iT9H9A,0,0,0,0,2,0,0,0,2.0,0,0,0,0,399,1.5
l_kefVF1frmC0xRW2YkvUA,1,1,1,1,2,0,1,0,2.0,0,0,1,1,106,3.5
UK2Onb024Azao0DrTHSvhg,1,1,0,1,2,1,0,1,2.0,1,1,1,1,102,3.5
XKQsxvDMe9rAWO0P0Uwx-Q,1,1,1,1,2,0,1,1,1.0,0,1,1,1,260,4.0
Bo3dqwrjRbGFDf3S59HzDQ,1,1,0,1,2,0,0,1,2.0,0,0,0,1,104,3.5
4yAvytbVKHqSYAo3mkI9OA,1,1,0,0,2,0,0,0,1.0,0,0,1,0,183,2.0
CtfCmOhJvpnTFcKm_MyQwA,0,1,1,1,2,1,0,1,2.0,1,1,1,1,106,3.0
Md_TTNUkO7U47b3cass4gw,0,1,1,1,2,0,0,1,2.0,0,1,1,1,101,3.5
OK0ba4X5seibH8oMWh4bhw,1,1,1,1,1,1,0,1,2.0,1,1,1,1,194,3.5
HGitzBs7x_fUvdTtrTacXg,1,1,0,0,1,0,0,1,2.0,0,1,0,1,127,4.0
_k-GxjmoJYelsGHA5NIPiQ,0,0,1,0,2,0,0,0,2.0,0,0,0,0,115,3.5
e5S5E2iGFs0fU1XMPmhWBw,1,1,0,0,2,0,0,0,2.0,0,0,0,1,253,4.0
C7X8VCpbBwTP2lFR354EIA,0,0,0,0,2,0,0,0,2.0,0,0,0,0,625,3.0
6TSpAuUdmo2UEn9emgd8xg,0,1,0,0,2,0,0,0,2.0,0,0,0,0,263,3.5
UJXLtqJBa1DXcjGLeRwHkw,1,1,1,1,2,1,0,1,2.0,1,1,1,1,668,4.0
AFgPDQm_pczo5uV3yQBgwg,1,1,1,1,2,0,1,1,2.0,1,1,1,1,115,4.0
XFU7XiXOo7LB3uPLecRlOw,0,0,0,0,2,0,0,0,2.0,0,0,0,0,354,3.0
bDnaX6jPdunz3GK63n3T8Q,1,1,1,1,2,0,1,1,2.0,1,1,1,1,275,3.5
fTfX3vGrV8GYBGcfweY6Kg,1,1,0,0,2,0,0,0,2.0,0,0,1,0,172,4.0
t6ZIBNrQjvtwor8W-u3sUg,1,1,1,1,3,1,0,1,1.0,1,1,1,1,112,4.5
eaiv4-X0JhNGP_2UmFmhGw,1,1,1,1,2,1,0,1,1.0,0,1,1,1,188,4.5
zkhBU5qW_zCy0q4OEtIrsA,1,1,1,1,2,0,0,1,2.0,1,1,1,1,194,3.5
7BK6vckOh2Ywq8ryy8P7Ow,1,1,0,0,0,0,0,1,2.0,1,1,1,0,403,4.0
_kdpjoGrIzA64E6aXHA66w,1,1,0,0,2,0,0,0,2.0,0,0,0,1,105,4.5
K3IlRTSfbLl0Czwn2LkMSQ,1,1,0,0,2,0,0,0,1.0,0,0,0,1,155,5.0
pP2t4yG5W_3x_r3ee9h-kQ,0,1,0,0,2,0,0,0,2.0,0,0,0,0,147,5.0
EzvQSacRpQhFU_p8NgiVJw,1,1,0,0,2,0,0,0,3.0,0,0,0,1,182,3.5
vqEtZ7CtNB9G8WMzjwJA2g,1,1,0,0,2,0,0,0,2.0,0,0,1,1,109,4.5
mmKrNeBIIevuNljAWVNgXg,1,1,1,0,2,0,0,0,2.0,0,0,0,1,387,4.0
3d5e5ogLl0fDGZfaCBNQrg,0,1,0,0,2,0,0,0,2.0,0,0,0,0,184,4.5
Q36KIIiz5M2WIdXiMxEPOw,1,1,1,1,2,1,0,1,2.0,1,0,0,1,166,3.5
uoZwJJaplLsktVrRw0JiQw,0,1,0,0,2,0,0,0,3.0,0,0,0,1,283,4.5
j2w6wlRmlaZaaErQus8ElQ,1,1,1,0,2,0,0,1,2.0,1,0,1,1,202,4.0
45JwLE2ol0WozeHtzPToXg,1,1,0,0,2,0,0,1,2.0,1,1,0,0,155,4.0
ujmEBvifdJM6h6RLv4wQIg,1,1,1,0,2,1,0,1,2.0,1,1,1,1,291,3.5
TKaND6oV1n2ylnCYoAfoag,1,1,0,0,1,1,0,1,3.0,1,1,1,0,201,3.5
XZ7eQLjyGXf6y69UT4SGhg,1,1,0,0,2,0,0,0,2.0,0,0,0,0,102,4.5
5PP6BwtNYlPARHApB9lzcQ,1,1,0,0,2,1,0,1,3.0,1,1,1,1,375,4.0
56Ll9rqG2WxXj4X2pmlkHQ,1,1,1,0,2,1,0,1,1.0,0,0,1,1,141,2.5
hINfDEJ2sAp19-Ebp8NoQQ,1,1,0,0,2,0,0,1,2.0,0,1,1,0,121,4.5
nI-ZmgPjAtiNTTU-_gnoYQ,0,0,0,0,2,0,0,0,2.0,0,0,0,0,277,4.5
0mM_smCpKeKaL0MPMKOLFg,0,1,0,0,2,0,0,0,2.0,0,0,0,0,329,4.5
gG9z6zr_49LocyCTvSFg0w,0,1,0,0,2,1,0,1,3.0,1,1,0,0,122,3.0
FhVYpbvE8IQeUHAcwPPIXg,0,1,0,0,2,1,0,0,1.0,0,0,1,1,107,5.0
F7uDccc_XT5aYamZeSkcZw,1,1,0,0,2,0,0,0,1.0,0,0,1,1,132,4.5
Zzvjuyxr1iudPN_heAAygw,1,0,1,0,2,0,0,1,2.0,0,0,1,1,123,4.0
_wwtLgX4n0jpyVP8jiJ40Q,1,1,1,1,2,1,0,1,2.0,1,1,1,0,100,3.5
-8O8sVCnaIKHP-596zN9UA,0,1,0,0,3,0,0,0,4.0,1,1,0,0,562,4.5
EyPDvFnc8Jh1kAZZMHoApQ,1,1,1,1,2,1,0,1,1.0,0,0,1,1,101,3.5
CUgRXXf5UQVqj0DudnrT5A,0,1,1,1,2,1,1,1,2.0,1,1,1,0,1377,4.0
Bs_AR85Lm4eiHXAfeaKnVA,1,1,1,1,2,1,0,1,2.0,1,1,1,1,401,4.0
LBBp51YHui5gvXNSyUcLKg,1,1,1,1,2,1,0,1,2.0,1,1,1,1,191,3.5
Ws8V970-mQt2X9CwCuT5zw,1,1,1,1,2,1,0,1,1.0,0,0,1,1,334,4.0
C6uJ3mbYCuQyy9PK2rBcKw,0,0,1,0,2,0,1,0,1.0,0,0,1,0,122,4.5
QH2OSulslnQ7Yn8Xs81SPg,0,0,0,0,2,0,0,0,2.0,0,0,0,0,117,5.0
1E1Qp9HWSZmqruir3sTeKw,1,1,1,1,2,1,0,1,1.0,0,1,1,1,137,4.0
2SbyRgHWuWNlq18eHAx95Q,0,1,0,0,2,0,0,0,2.0,0,0,0,0,123,4.0
LpJvitnw7vU5UW-3KE9kjA,1,1,1,1,2,1,1,1,2.0,0,1,1,1,161,4.0
1C0dvufJgfKrDFfdsxai4g,1,1,0,0,2,0,0,0,1.0,0,0,0,1,120,3.5
Ol4QM1QI5GlK36t2sGC7KA,1,1,1,1,2,1,0,1,2.0,1,1,1,1,146,3.5
yRQFS-UT0Tn5PvNCLeZV9w,1,1,1,1,2,1,0,1,2.0,1,1,1,1,150,3.5
3xEO9oyGqfO_O8eSlxYTBA,1,1,1,1,2,1,0,1,2.0,1,1,1,0,270,3.5
Gyrez6K8f1AyR7dzW9fvAw,1,1,1,1,2,1,0,1,2.0,0,1,1,1,265,3.5
R9gRb3T8t-eIKlOtMPShuA,1,1,1,0,3,0,1,1,1.0,0,1,1,1,127,4.0
iUg-giEl5nINQoc6yau5yQ,1,1,1,1,2,0,0,1,2.0,1,1,1,1,376,4.0
rNoMSO6AsegKb9-p6Ir7SQ,1,1,1,1,2,1,1,0,2.0,0,1,1,1,112,4.0
5UNKDcEJC1FziV7uBczzfA,1,1,1,1,2,0,0,1,2.0,0,0,1,0,171,4.0
x8O-Mll5ksDpeIgtA0XY-w,1,1,0,0,2,0,0,1,4.0,1,1,1,0,121,4.0
ar3s7wr7p2IlFxI3SwVuMQ,1,1,0,0,2,1,0,0,2.0,0,0,1,0,110,3.5
3cHCPNlp9O7fY_RQKIJthQ,1,1,1,1,2,1,1,1,2.0,1,0,1,1,251,3.5
U1cXgftMjQheZfY8QKoXmA,1,1,1,0,2,0,1,1,2.0,0,0,1,1,111,3.5
YPBVDjYEsPMnzwo_AcNVYg,1,1,0,1,2,1,0,1,2.0,1,1,1,1,401,3.5
cDygBgopGXg3Jvh9ynWxhw,0,1,0,0,2,0,0,0,2.0,0,0,0,0,225,4.0
tbeyonV9fwKRf1jFZ4dfqw,1,1,1,1,2,1,1,1,3.0,1,1,1,1,115,4.0
pDSl9xdKJCdN4vu8z26cEA,1,1,1,0,2,0,0,0,2.0,0,0,0,0,121,3.0
-DnaKAs2oK3rXfrjSvn9ew,1,1,0,0,2,0,0,0,2.0,0,0,1,1,158,4.0
pa-C-Vsk9ntuXBGjTr0tBQ,1,1,1,0,2,0,0,1,2.0,0,0,1,0,116,4.0
Ohu6w8_RYE5KdHEWGdBjXQ,1,1,1,1,2,1,0,1,2.0,0,1,1,0,239,4.0
W8xPHUqL088jdcmNZyH-eA,1,1,1,1,2,1,0,0,2.0,0,0,1,1,1173,4.5
UNI1agsPX2k3eJSJVB91nw,0,0,0,0,2,0,0,0,2.0,0,0,0,0,160,1.5
Q7bAF6MrZ8wWfLsxaPl2Yw,1,1,1,1,2,1,0,1,2.0,1,1,1,1,1025,4.0
HO2knNxcc_8lFtgGxN8q2A,1,1,1,1,2,0,0,1,2.0,1,1,1,1,154,3.0
w-kAAKasRVMePzORGOJ8HA,1,1,0,1,3,1,0,1,2.0,1,1,0,0,106,3.5
1CaM8eIvl41l4f3V-V-cAw,1,1,1,0,2,0,0,1,2.0,0,1,1,0,149,4.5
9t8PEynZGVCG1EjOQr1xBA,0,0,0,0,2,0,0,0,2.0,0,0,0,0,170,5.0
6K59UtSTXt56F4rMo1T4tw,1,1,0,0,2,0,1,0,2.0,1,1,1,0,151,3.5
H_eO04NZAQIDcbtFQ4BUag,0,1,1,0,2,0,0,0,1.0,0,0,1,0,103,4.0
PCiyAPyWO9_6IUWgw7Pwog,0,1,0,0,2,0,0,0,2.0,0,0,0,0,115,4.0
ZfPcpbZssIMrYBSg9jXNdw,1,1,1,0,2,0,0,1,2.0,0,1,1,1,155,3.5
-Sgt6wFx05Ox-O1ZSC3LOA,1,0,0,0,2,0,0,0,1.0,0,0,0,0,255,5.0
NWjJK9c5YOQSbMX_bw24sA,0,0,1,0,2,0,0,0,2.0,0,0,0,0,338,4.5
hIgGkG1JnHX4xmVuOgegDw,1,1,0,0,2,0,0,0,2.0,0,0,0,0,132,2.5
zP4AIAtAXfI0YK8TJmIlRQ,1,1,0,0,2,0,0,0,1.0,0,0,1,1,121,3.5
V2oe1HVgNK0He9Mf3Q17AA,1,1,1,1,2,0,0,1,1.0,0,0,1,0,116,4.0
nBl_4gw5ecGzNkHyzfii8g,1,1,1,1,2,1,0,1,2.0,0,1,1,1,328,4.0
29jBAjC1Hkc7T-LKd_xRLA,1,1,1,1,2,1,0,1,2.0,1,1,1,0,323,4.0
rBov6r5SySep-XMYayAITQ,1,1,1,1,2,1,0,1,2.0,1,1,1,1,121,2.5
KN-JL6uWCfDubCztgZ6zdw,1,1,0,0,2,0,0,0,1.0,0,0,1,1,167,4.0
d8WZtx4dZUvT9Sg9NXGb3Q,1,1,1,1,2,0,1,1,2.0,0,1,1,1,102,3.5
7CPGGNwHibzQtnERq7u2Hw,1,1,1,1,2,1,0,1,2.0,0,0,1,0,145,4.5
onoZsIFPJXumpV_ndxcGTQ,1,1,0,0,2,0,0,0,2.0,0,0,1,1,131,4.5
0jHZk9RrKh0uRhTRW1XIqQ,1,1,0,0,2,0,0,1,3.0,1,1,0,0,127,4.0
qmh6zxtJ8C8-YiUPv7ySlw,1,1,0,0,2,0,0,0,2.0,0,0,1,1,101,4.5
UXFLCGw1yOCajlMONYQM1w,0,1,1,0,2,0,0,1,2.0,1,1,1,1,255,4.0
-YxR1MgbIe3k__YBdbLwXw,1,1,1,0,3,0,0,1,2.0,1,1,1,0,164,4.5
Z3JilPsbidx5KqDCTcdQWg,1,1,1,1,2,1,0,1,2.0,1,1,1,1,583,3.5
aZLggARpUrEpdalQqPUI0Q,1,1,1,0,2,0,0,1,2.0,1,1,1,0,182,3.0
xFkUn2tIJY0vkcm1Hl5m_A,0,0,0,0,2,0,0,0,2.0,0,0,0,0,131,1.5
bpfimz26E-iAuJN1y95Dpg,1,1,1,0,2,1,0,1,1.0,0,0,1,1,108,2.5
S6DJJArAFwhrdOPHgU4LgA,1,1,1,0,2,1,1,1,2.0,1,1,1,1,159,3.0
gq9GvevIhj4YvUxxk2O0yw,1,1,0,1,2,0,0,1,2.0,0,1,1,0,203,4.0
v7MM9ut931b_0ZO9D0YUHg,0,1,1,0,2,0,0,1,1.0,0,0,1,1,245,4.5
S3kcGHznDcyzsxkOhSZeLg,1,1,1,0,2,1,0,1,2.0,1,1,1,1,630,4.0
kiizdW8dFgBlND4mJURWDQ,1,1,1,1,2,0,0,1,2.0,0,1,1,1,130,2.5
Edq3REDbBfss0WQu2Ta93w,1,1,1,0,2,1,0,1,1.0,0,0,1,0,231,3.5
w1c_Uy60LSDiMsSjAsEqkw,1,1,1,0,2,0,0,1,1.0,0,0,1,1,124,4.5
RU2VtVZG8to-XVEHD-2qag,0,0,0,0,2,0,0,0,2.0,0,0,0,0,113,4.5
IMb5BpDLlSbr7yn19HhltA,0,1,0,0,2,0,0,0,2.0,0,0,0,0,119,4.5
WmuoWetYC-4U2-V4taC6Wg,1,1,1,1,2,0,0,1,2.0,1,1,1,0,128,3.5
oEkOj9NXJFrjFn3NBB_jpA,1,1,1,1,2,0,0,1,2.0,1,1,1,1,300,3.0
d4qwVw4PcN-_2mK2o1Ro1g,1,1,0,1,2,0,0,1,2.0,0,1,1,1,106,3.5
__IFWGnWgMJV-55JIQfzjw,0,1,0,0,2,0,0,0,2.0,0,0,0,0,169,3.5
iGEvDk6hsizigmXhDKs2Vg,1,1,1,1,3,1,0,1,2.0,1,1,1,0,153,4.0
NQtf94_0pNCBvcNTQESpOw,0,0,1,0,2,1,0,1,2.0,1,1,1,0,101,4.0
U4iqELk1IiqARpk5uJJOZg,1,1,1,1,1,1,0,1,2.0,1,1,1,1,117,3.5
if59L5DHM4pPMrCx9HuD8A,0,1,0,0,2,0,0,0,2.0,0,0,0,0,105,5.0
JM9GL7hbCqwsJdRGw-ef4g,0,1,1,0,0,0,0,1,3.0,0,0,0,0,126,4.5
0Cqkgz8hz8sLYvSkZhBDzQ,1,1,0,1,2,0,0,1,2.0,0,1,1,0,300,4.0
JXTlt-mRrQoE2_gfijhp4g,1,1,1,1,2,1,0,1,2.0,1,1,1,1,125,3.5
Cp01l4XUjd-6x-6v4KiIEg,1,1,1,0,2,0,0,1,2.0,1,1,1,1,217,3.5
LAiBt7LobYM_0_EQrSvK4A,1,0,1,1,2,1,0,1,1.0,0,0,1,1,645,4.0
AY4qBdRtkShnjiPTdlxw_A,1,1,1,1,2,1,0,1,2.0,1,1,1,1,157,3.5
urWkq22ug6ppT4a6aSPwhA,0,0,0,0,2,0,0,0,2.0,0,0,1,1,107,4.0
Dd9l9bDHbACessxl-Ks4UA,1,1,1,0,2,1,0,0,2.0,0,1,1,1,129,3.5
XCxxPZ3Lu5mwmIo7IQRf1g,1,1,1,1,2,1,0,1,2.0,1,1,1,0,122,4.0
Km0sT7E_dc2U1BkyRoy1xA,1,1,0,1,2,1,0,0,3.0,1,0,0,1,548,4.0
S4AoACdQHexs4tMiodZiYg,1,1,1,0,2,0,0,0,2.0,0,0,0,0,338,3.0
_SzR2YKGpzdU3xC7VwaJGw,1,1,1,1,2,0,0,1,2.0,1,1,1,1,302,3.5
BJ9GwNMo8vIgSuKc6B_mOw,1,1,1,0,2,1,0,1,2.0,0,0,1,1,845,4.5
nuGAd48mGzVLlJLPkST0BA,1,1,1,1,2,1,0,0,1.0,0,0,1,0,134,4.5
_Ss4d4dYzehTmWJGpkqL7w,1,1,1,0,3,0,0,1,2.0,1,1,1,1,171,4.0
6xgcHeLad-VaoTIQewK84A,1,1,1,1,2,0,1,1,1.0,0,1,1,1,159,4.0
yydyoWCY3LJYlPwVLKbJ3Q,1,1,1,0,2,0,0,1,2.0,1,1,1,1,114,4.5
S5FTckOpSK0_Ma4c18ZEgg,1,1,1,0,2,0,0,1,1.0,0,0,1,0,388,3.5
AA3gAf3qlH6GY9Uw06wUFg,1,1,0,1,2,1,1,1,1.0,1,1,1,1,109,3.5
QDeB3ZtWYzVJJ0KK-HM-PA,0,1,0,1,2,0,0,1,3.0,1,1,1,1,492,4.0
cy3Or8iSsDOmHBBu2MwnOg,0,1,0,0,2,0,0,0,2.0,0,0,0,0,285,3.5
